PALLFNF_Index,PNFUEL_Index,PFANDB_Index,PCOCO_USD,PCOFFOTM_USD,PCOFFROB_USD,PCOTTIND_USD,PFISH_USD,PLAMB_USD,PLEAD_USD,PLOGORE_USD,PLOGSK_USD,PMAIZMT_USD,PNGASEU_USD,PNGASJP_USD,PNGASUS_USD,PSMEA_USD,PSUNO_USD,PURAN_USD,PWHEAMT_USD
50.16,71.68,77.1,1385.93,57.34,22.88,43.42,621.83,138.15,511.09,144.77,133.84,91.97,100.44,75.11,81.29,169.58,567.43,9.59,125.31
51.34,72.5,76.87,1490.39,60.51,24.46,42.81,633.4,137.12,480.93,140.23,136.04,90.73,100.44,76.59,83.18,165.45,563.05,9.72,123.28
55.89,74.4,78.74,1592.03,66.38,29.77,42.04,633.5,137.39,480.68,144.32,143.02,89.86,100.44,77.64,109.13,174.29,546.52,9.95,122.56
57.69,74.38,78.05,1568.15,65.78,30.35,41.38,646.64,137.77,472.09,150.49,144.11,87.11,92.16,85.63,123.4,175.93,545.68,9.75,123.72
58.28,75.07,79.66,1604.7,58.43,29.43,39.89,661.87,141.06,450.39,141.19,149.08,90.33,92.16,93.42,126.16,179.9,525,9.9,121.46
57.72,77.12,81.74,1656.46,55.16,29.26,43.48,644.25,143.31,439.98,133.29,163.48,93.17,92.16,95.31,116.1,185.83,556.85,9.9,132.03
59.89,79.16,85.52,1872,53.09,29.31,46.7,652.11,150.81,446.03,149.62,172.56,99.7,90.72,121.19,107.64,204.24,596.22,9.89,149.3
60.53,79.13,86.22,1959.27,52.02,28.74,49.32,650.15,148.75,424.33,146.05,182.11,109.89,90.72,95.1,111.14,201.12,639.77,9.85,161.26
62.98,81.18,88.84,2167.41,57.58,33.31,48.98,662.55,150.45,420.54,149.13,180.96,113.94,91.17,97.42,127.91,200.25,631.62,9.8,187.84
62.71,81.36,88.99,2201.5,64.05,34.44,49.56,654.82,154.82,418.25,147.6,178.95,109.65,100.08,100.15,148.79,185.35,635.43,9.84,190.32
59.68,80.66,87.23,1825.06,70.18,39.35,52.33,650.13,154.96,441.44,156.65,181.33,108.65,100.08,100.99,146.24,183.88,732.38,9.86,176.26
62.74,80.2,88.17,2025.61,63.86,38.52,55.22,635.42,157.94,441.21,147.69,183.37,107.01,101.29,99.1,170.91,181.98,729.95,9.88,168.98
66.42,81.21,89.01,2190.14,65.22,42.75,56.71,641.65,162.69,444.85,143.16,187.41,105.75,113.4,105.41,196.31,184.87,659.39,10.16,149.6
69.21,81.5,88.66,2230.35,67.6,42.35,58.55,637.82,159.7,474.53,150.49,187.32,106.04,113.4,111.72,277.28,192.42,640.6,10.1,150.84
65.71,79.99,87.03,1989.84,61.66,38.36,61.01,632.28,153.1,454.73,145.69,184.15,105.06,114.13,114.46,213.99,191.36,647,10.1,141.81
60.65,79.56,86.69,1932.14,65.32,38.67,60.78,622.2,149.04,438.03,151.94,180.45,105.25,128.8,108.99,189.96,200.26,667.64,10.1,138.62
61.35,79.82,87.92,1729.21,66.18,38.82,57.8,640.06,157.01,462.35,145.89,183.17,107.82,128.8,102.46,209.28,214.18,678.27,10.9,141.96
62.91,78.98,85.55,1579.11,61.34,35.33,58.5,672.42,165.93,467.67,146.8,182.34,106.99,128.88,98.89,210.71,210.61,634.05,10.9,131.35
63.28,78.39,83.04,1556.87,62.29,36.67,60.19,668.62,152.41,513.34,142.07,181.67,97.61,129.96,98.26,180.98,200.44,577.52,10.95,131.62
64.91,79.67,84.05,1565.55,63.6,37.92,60.5,656.84,157.42,493.78,150.47,181.46,100.31,129.96,99.94,179.5,199.3,552.24,11.24,148.72
63,81.86,87.63,1625.39,65.51,38.75,64.18,645.36,167.16,520.98,134.3,187.19,103.22,129.96,103.73,166.35,218.14,617.5,11.49,145.62
66.4,85.19,91.47,1481.68,62.58,37.32,72.56,643.64,165.75,587.46,152.32,196.77,104.17,129.6,101.41,166.82,245.71,705.22,12.37,147.46
67.27,86.81,93.12,1510.01,62.36,36.05,76.94,670.87,160.81,622.67,144.4,197.46,108.03,129.6,106.25,161.7,262.96,708.8,13.18,160.55
69.07,88.06,93.94,1646.58,64.88,37.6,73.59,670.59,166.72,690.11,139.3,196.44,111.98,129.6,106.04,221.04,255.64,711.74,13.35,165.57
71.95,91.79,97.45,1626.4,73.73,41.14,76.24,711.99,164.66,753.56,160.5,199.06,115.09,122.04,108.15,221.42,278.48,720.5,14.8,166.33
72.98,94.6,100.01,1566.09,77.51,39.1,73.92,733.62,163.21,885.15,172.77,199,122.91,122.04,109.41,193.55,286.39,755.5,16.05,161.39
76.57,97.03,105.05,1504.43,77.47,38.67,72.28,729.21,160.47,878.14,159.41,195.2,128.43,122.04,111.3,194.26,331.41,756.04,17.14,166.28
77.06,97.02,106.07,1435.67,74.34,38.06,69.44,713.13,159.11,747.03,176.76,197.96,133.39,125.28,115.72,205.75,343.71,706.91,17.75,166.58
81.08,96.6,106.5,1413.04,75.81,37.93,70.04,704.23,158.19,804.1,177.86,188.43,129.3,125.28,115.09,228.06,331.65,638.62,17.75,163.73
79.14,95.81,103.16,1404.71,82.16,41.04,64.63,679.41,164.21,863.73,175.41,198.62,123.23,125.28,123.72,225.62,311.68,583.77,17.88,154.74
81.46,95.25,100.55,1567.86,73.96,36.71,57.02,666.62,167.86,931.34,180.9,200.45,104.48,137.16,120.56,213.65,291.01,688.95,17.9,150.6
84.68,93.15,96.9,1727.33,73.17,34.93,53.47,663.68,164.93,916.62,184.6,198.65,104.04,137.16,124.14,194.68,212.15,727.23,17.9,141.29
83.71,92.41,95.16,1541.14,80.99,35.03,56.68,663.5,163.31,932.16,180.48,199.27,97.76,137.16,135.5,186.02,182.69,766.09,18.6,151.03
89.32,91.85,92.04,1483.8,79.81,31.75,52.52,667.14,168.81,932.86,171.62,197.96,93.37,156.24,140.13,229.63,171.44,752,20.08,150.15
84.63,92.23,93.29,1665.71,89.51,34.02,49.24,691.63,172.32,966.31,170.98,202.13,93.75,156.24,146.02,222.73,170.13,824.05,20.2,156.57
81.68,92.67,95.06,1672.75,102.57,38.96,48.6,690.63,182.1,972.34,172.9,190.35,95.59,156.24,137.6,236.95,175.72,893.22,20.5,153.87
86.71,95.31,95.48,1549.89,107.11,39.63,51.26,700.23,181.61,954.23,184.31,191.43,95.98,182.16,122.45,221.47,175.18,1088.67,20.54,153.59
89.08,97.96,99.45,1719.46,122.23,44.61,52.17,707.86,174.78,972.98,179.08,191.02,94.36,182.16,128.34,220.98,178.55,1095.1,21.2,151.3
97.39,102.18,103.86,1763.91,134.69,50.66,56.24,714.03,171.85,1001.69,179.16,193.65,99.94,182.16,135.92,239.4,207.64,1164.57,21.84,150.99
96.65,99.36,100.61,1585.95,128.79,53.28,56.95,710.51,167.5,980.48,183.79,194.15,96.39,198.36,148.12,258.33,210.27,1161.29,23.14,140.88
93.56,98.88,100.96,1509.46,126.16,58.51,55.84,695.98,164.53,985.29,171.36,202.52,95.27,198.36,151.91,233.06,218.01,1160.86,28.25,144.25
99.89,99.5,101.24,1538.63,119.98,62.92,53.99,682.06,159.83,982.65,179.02,203.12,97.56,198.36,137.81,258.64,241.22,1152,29,141.93
102.88,99.33,101.04,1488.32,108.45,60.57,54.97,656.46,154.42,857.52,182.64,205.53,105.6,220.68,148.54,275.24,238.8,1152,29.28,143.87
109.04,100.2,99.73,1482.23,108.43,55.6,54.07,784.54,154.22,887.42,184.32,211.94,98.64,220.68,151.91,342.89,217.6,1152,29.65,149.36
109.28,99.98,99.38,1504.16,98.17,50.07,54.95,783.29,155.13,932.77,185.04,216.8,96.99,220.68,162.22,446.98,193.57,1152,30.43,159.71
106.76,100.99,99.68,1453.83,106.09,50.84,58.24,817.1,150.35,999.4,181.81,211.27,101.5,250.56,168.53,490.82,186.58,1152,32.75,167.83
102.83,101.34,97.97,1428.78,108.81,54.72,56.83,823.44,148.23,1017.84,181.24,205.47,95.97,250.56,170.63,370.82,192.15,1152,33.56,161.12
105.94,104.97,100.6,1511.32,103.03,59.01,56.53,855.24,148.57,1120.15,186.74,210.52,102.66,250.56,149.17,469.77,209.58,1152,35.53,164.44
113.07,108.53,102.11,1576.23,124.36,66.45,59.01,910.33,149.23,1258.14,186.05,221,102.7,275.76,154.43,312.66,201.96,1090.91,36.75,167.16
111.71,111.67,104.77,1546.37,118.52,65.46,60.75,909.04,146.35,1267.44,183.81,222.54,106.92,275.76,166.01,270.91,198.43,715.3,37.69,179.84
113.23,112.53,105.48,1545.05,112.2,62.92,58.62,906.58,140.51,1193.89,193.49,225.16,104.89,275.76,166.43,247.68,192.43,693.87,39.77,174.44
123.15,118.95,107.66,1552.34,114.71,64.46,57.18,918.24,141.22,1170.56,205.17,229.39,107.82,293.04,164.32,258.06,190.55,673.25,41.1,180.35
127.46,128.96,113.98,1594.3,107.96,63.97,55.41,970.83,148.52,1167.5,193.15,244.17,110.57,293.04,180.1,224.87,193.25,673,42.28,193.17
125.8,125.42,114.59,1605.78,101.21,64.14,56.42,958.62,150.16,963.61,185.69,238.46,109.55,293.04,181.79,223.33,196.26,673,44.17,195.16
130.95,127.72,114.14,1673.21,102.77,68.66,56.73,959.07,155.95,1053.26,193.33,236.12,114.24,302.4,179.05,222.23,187.27,673,46.5,202.43
130.33,127.46,112.31,1612.94,112.13,75.73,59.85,1251.38,169.68,1179.32,176.61,240.03,115.21,302.4,176.1,256.77,175.91,673,47.44,189.91
119.21,125.28,108.25,1566.34,109.36,77.88,58.82,1296.63,164.91,1346.53,193.46,246.47,120.26,302.4,185.78,176.29,177.59,673,52.44,195.98
116.19,128.54,110.29,1530.17,110.91,76.26,57.03,1263.01,155.78,1525.66,182.19,245.32,142.17,311.4,167.06,210.37,194.12,673,56.06,212.09
117.44,130.51,113.88,1582.54,123.57,79.67,57.4,1262.59,158.17,1626.02,179.94,256.02,164.08,311.4,157.8,266.76,214.23,673,61.44,205.81
121.05,132.61,115,1702.16,129.95,77.75,59.43,1285.02,162.78,1709.16,171.15,268.46,160.66,311.4,153.38,242.26,205.69,673,66.57,204.31
113.1,131.45,115.22,1701.93,124.46,80.55,59.05,1258.73,159.32,1664.34,167.76,262.27,165.1,302.04,161.17,235.05,221.79,673,72,196.07
118.61,134.68,118.72,1811.15,122.34,80.97,57.89,1252.39,155.38,1775.08,165.12,262.56,177.35,302.04,150.86,288.17,244.1,673,76.25,199.98
122.53,136.96,118.48,1924.2,116.61,78.88,58.41,1268.87,154.24,1908.98,151.27,269.66,169.52,302.04,154.85,255.96,239.53,673,89.44,199.1
128.99,142.48,118.27,2034.25,114.59,81.64,57.18,1289.38,157.18,1984.16,163.04,266.04,152.58,281.88,162.43,273.57,221.75,673,110.43,198.31
129.84,144.11,119.44,2011.13,112.52,86.28,55.57,1266.92,157.32,2106,158.72,261.95,156.44,281.88,172.74,275.06,227.67,673,119.11,195.72
132.96,143.59,124.53,2013.04,118.67,94.76,60.44,1254.15,159.24,2436.64,148.6,257.91,164.5,281.88,178.42,264.5,249.16,673,136.22,223.04
138.16,143.27,126.3,2151.67,116.8,93.47,67.81,1212.95,165.72,3072.43,146.32,263.05,147.13,280.44,172.95,224.02,252.57,673,131.5,238.41
133.05,138.26,127.85,1902.09,123.63,88.4,66.62,1148.05,164.31,3115.19,149.87,270.93,151.01,280.44,181.15,223.87,251.83,673,109.6,259.73
140.79,141.35,134.18,1944.01,128.04,93.61,68.21,1109.22,163.76,3228.03,161.27,274.96,160.05,280.44,179.89,218.48,288.78,673,85,326.54
